gene,hazard_ratio,p_value,fdr,mean_expression,sd_expression
TSPAN6,1.084857559,0.567414074,0.74868683,270068.7723,205297.9806
TNMD,1.192324104,0.220255022,0.44841823,33250.07488,179284.2881
DPM1,1.101417338,0.494066196,0.696288907,751716.6876,373086.83
SCYL3,0.651632599,0.002887048,0.054785213,108580.6505,46187.19986
C1orf112,0.977626549,0.872924099,0.936027979,51766.33776,34763.46989
FGR,1.072670321,0.623777331,0.786733871,66081.42515,61686.12799
CFH,1.520899797,0.003945954,0.062330371,167943.2849,168494.6511
GCLC,1.412922126,0.015100332,0.11409245,124145.3292,70758.06159
NFYA,0.804910792,0.126350635,0.332758068,352644.2919,272636.3757
NIPAL3,1.401354193,0.018643497,0.126517869,123572.9826,71657.96027
LAS1L,0.880757064,0.373613718,0.597016679,236314.5353,95669.50559
ENPP4,1.473618839,0.00697376,0.079910695,154891.1815,155186.7026
SEMA3F,0.573801117,0.000164828,0.018596863,498963.659,313150.6826
CFTR,1.11084002,0.45912943,0.670016378,3310.812414,15680.00067
CYP51A1,0.711292927,0.01772848,0.124099362,28440.52188,20435.1203
KRIT1,1.110461506,0.465027152,0.674713542,138572.3381,48342.66624
RAD52,1.146306303,0.336232224,0.563358482,49794.22414,24207.76835
BAD,0.813365432,0.148209716,0.36122149,449218.0004,314665.0507
LAP3,0.738228746,0.034434833,0.172445193,782617.7087,387273.8539
CD99,1.102713498,0.489414064,0.693207571,1307838.392,880781.945
HS3ST1,1.270840151,0.093286283,0.284351457,15463.40467,12645.9774
AOC1,0.931912501,0.618829614,0.783682297,23625.80422,147517.3303
WNT16,0.79407292,0.10322681,0.299364977,1068.311679,5895.29196
HECW1,1.177880909,0.248196721,0.475634262,1325.618853,2040.034941
MAD1L1,0.708663285,0.017632235,0.123914209,82734.94886,44177.38651
LASP1,0.800609695,0.124922423,0.331108786,1367923.202,1488295.841
SNX11,0.954531491,0.742443728,0.861528338,191254.1966,109783.3004
TMEM176A,1.133386764,0.378748083,0.601825128,293041.1304,330264.8022
M6PR,0.930088919,0.608658332,0.777726516,476041.607,181430.1816
CYP26B1,1.500313968,0.004797187,0.067749055,35867.56006,65736.90533
ICA1,0.833137346,0.201432978,0.425423352,260310.2769,141310.3478
