gene,anomaly_score,hazard_ratio,fdr,mean_expression,log_hazard,anomaly_norm,hazard_norm,fdr_norm,target_score,risk_type
CLU,0.6801144,1.71096057308563,0.0216868278112695,3016209.13212182,0.537054951445043,0.9999999999999999,0.8207352840029405,0.02064229757225262,1.8000929864306876,High-risk (oncogenic)
PDP1,0.019455243,2.25226656741565,0.0010671650724177,195822.105569739,0.8119370724622621,0.02860580897973371,1.0,0.0,1.0286058089797336,High-risk (oncogenic)
NDRG1,0.043838404,1.91989700727352,0.0077212418198932,720764.853670106,0.6522715425558625,0.0644573682946255,0.895873926731678,0.006661381130700528,0.9536699138956028,High-risk (oncogenic)
SLC16A2,0.0037046347,1.96009188349311,0.0059159057062892,183739.942199946,0.6729913514768436,0.005447045121631927,0.9093863758061681,0.0048540632445194755,0.9099793576832806,High-risk (oncogenic)
AFDN,0.0027664844,1.91820964111291,0.0078338177264498,242283.451281604,0.6513922724240488,0.004067644348830832,0.8953005096251707,0.00677408061526721,0.8925940733587343,High-risk (oncogenic)
PAFAH1B1,0.00049535075,1.92465991151537,0.0078338177264498,403939.353496705,0.654749282789216,0.0007283036142549625,0.8974897880965529,0.00677408061526721,0.8914440110955406,High-risk (oncogenic)
GPX3,0.1503694,1.50548631274198,0.0688689574185023,1086072.90637152,0.4091159773951551,0.22109425068934455,0.7372997234683518,0.06787622044384098,0.8905177537138553,High-risk (oncogenic)
LILRB5,0.001145083,1.90299917194843,0.0091338119174085,17068.7948386761,0.6434311531843487,0.0016836315268120385,0.8901086558434758,0.008075501849544081,0.8837167855207437,High-risk (oncogenic)
RDX,0.0013879997,1.90028842968101,0.0091338119174085,233168.875976362,0.6420056797464357,0.0020408018903521788,0.889179031573759,0.008075501849544081,0.8831443316145671,High-risk (oncogenic)
IGF2R,0.0007810927,1.89838129809688,0.0078338177264498,271705.43266738,0.641001574688068,0.0011484416951698137,0.8885242032151397,0.00677408061526721,0.8828985642950423,High-risk (oncogenic)
ITFG1,0.0010191455,1.89963897364226,0.009022220581058,204309.607999266,0.6416638542449771,0.0014984604675216048,0.8889561096492162,0.007963788015976277,0.8824907821007615,High-risk (oncogenic)
RNASE1,0.11269657,1.55883080153165,0.0479019840425892,1901216.41083841,0.4439360540585901,0.16570234726448363,0.7600076796314066,0.04688623098103577,0.8788237959148545,High-risk (oncogenic)
LIMCH1,0.0013555533,1.84570090808228,0.0125825330275485,192637.725854939,0.6128591013298388,0.0019930946208084675,0.8701710543259045,0.011528008726151872,0.860636140220561,High-risk (oncogenic)
RMDN1,0.0004918311,1.84258197245014,0.0127746088243894,204590.698332109,0.6111678338882611,0.0007231285288448855,0.8690680921671889,0.011720295370459917,0.8580709253255739,High-risk (oncogenic)
ZMAT3,0.0005879792,1.84067990732631,0.0127746088243894,93924.8196083634,0.6101350182183504,0.000864499014409253,0.8683945401476587,0.011720295370459917,0.857538743791608,High-risk (oncogenic)
PCDHB13,0.00029934262,1.83597699856802,0.0127746088243894,17784.1813506974,0.6075767641067615,0.00044010484056454464,0.8667261715572783,0.011720295370459917,0.8554459810273829,High-risk (oncogenic)
TMEM43,0.00015078144,1.82996346952384,0.0135867342716824,738131.90157386,0.6042960046452555,0.00022166925886698237,0.8645866202072481,0.012533312312654305,0.8522749771534608,High-risk (oncogenic)
TMC7,0.00020379579,1.8245062662235,0.0127746088243894,20570.6450383135,0.6013094113765464,0.000299618426883608,0.8626389097045329,0.011720295370459917,0.8512182327609567,High-risk (oncogenic)
CXorf56,0.00011906977,1.82214963121713,0.0127746088243894,246405.628995382,0.600016920173253,0.00017504229290554385,0.8617960099639836,0.011720295370459917,0.8502507568864293,High-risk (oncogenic)
C2CD2,0.0008027025,1.81903232800747,0.0135867342716824,122234.171190187,0.5983046717845835,0.001180215468327566,0.8606793650546115,0.012533312312654305,0.8493262682102848,High-risk (oncogenic)
ACSL1,0.053318925,1.65451164518998,0.0296834258933489,637823.118062134,0.5035058868497612,0.0783969662395998,0.7988562199358256,0.02864767376421935,0.848605512411206,High-risk (oncogenic)
PTPN11,0.00025784972,1.81793840821483,0.0135867342716824,493162.261911226,0.5977031163116547,0.0003790961319111886,0.8602870599071832,0.012533312312654305,0.8481328437264402,High-risk (oncogenic)
JRKL,0.00033272267,1.81731775156019,0.0135867342716824,86558.4072930996,0.5973616511530019,0.0004891848939058261,0.8600643729806481,0.012533312312654305,0.8480202455618996,High-risk (oncogenic)
STON1-GTF2A1L,0.00013394475,1.81743651947225,0.0135867342716824,545.878832057931,0.5974270024275289,0.0001969135846456849,0.8601069918953479,0.012533312312654305,0.8477705931673393,High-risk (oncogenic)
NT5E,0.0007074699,1.81434867237067,0.0135867342716824,113879.150878942,0.5957265451138244,0.0010401910798731172,0.858998036550132,0.012533312312654305,0.8475049153173507,High-risk (oncogenic)
CRK,0.00013760604,1.81626301577974,0.0135867342716824,483424.613890439,0.5967811021697211,0.0002022969291433085,0.8596857672414859,0.012533312312654305,0.8473547518579749,High-risk (oncogenic)
CA5B,0.00020346366,1.81034989357476,0.0135867342716824,33795.5352737519,0.5935201379627704,0.0002991300825546977,0.8575591253912545,0.012533312312654305,0.8453249431611548,High-risk (oncogenic)
ZNF75D,0.00016133014,1.8091977028902,0.0135867342716824,61593.8249262178,0.5928834889381228,0.00023717944410280964,0.8571439339405668,0.012533312312654305,0.8448478010720153,High-risk (oncogenic)
AMD1,0.0009682238,1.79195603551439,0.0156638808142147,278773.325534995,0.5833077804986507,0.0014235882084258657,0.850899123810609,0.014612739002371103,0.8377099730166637,High-risk (oncogenic)
SLC6A3,6.719509e-05,1.79076973830594,0.0146347456789716,1237.60996084378,0.5826455488199256,9.876882832230009e-05,0.8504672486003493,0.013582474154065856,0.8369835432746057,High-risk (oncogenic)
OSBPL10,0.00012983616,1.77796829241871,0.0135867342716824,52387.4721802071,0.5754713036473829,0.0001908725566556892,0.8457885557170512,0.012533312312654305,0.8334461159610527,High-risk (oncogenic)
INPP5A,0.00011778413,1.78075628921857,0.0147494848145626,151822.904216852,0.577038155650839,0.0001731519638084429,0.8468103801935563,0.013697339242309503,0.8332861929150551,High-risk (oncogenic)
EMP1,0.008750382,1.74877567954848,0.0185968631438047,657445.052257971,0.5589159314063806,0.01286601383589769,0.8349919491861268,0.017548940956221625,0.8303090220658029,High-risk (oncogenic)
ABCC2,0.00025663615,1.77155760679913,0.0156638808142147,10809.4966008457,0.5718591634506843,0.00037731177028400777,0.8434328940097474,0.014612739002371103,0.8291974667776603,High-risk (oncogenic)
RABGAP1,0.00014374495,1.76918008611222,0.0156638808142147,207801.115640813,0.5705162110772308,0.00021132321970480635,0.8425570859545206,0.014612739002371103,0.8281556701718543,High-risk (oncogenic)
CPT1A,0.0011705463,1.76383168033342,0.0156638808142147,386146.779161263,0.5674885337197672,0.0017210712586951558,0.8405825824123915,0.014612739002371103,0.8276909146687155,High-risk (oncogenic)
EPHA3,0.00055840245,1.76238462651712,0.0156303820546417,29890.290088272,0.5666677934295482,0.000821011108679281,0.8400473356146406,0.01457920347018685,0.8262891432531331,High-risk (oncogenic)
VPS41,0.00014237946,1.76124643099297,0.0158987535459717,195004.405736306,0.566021757823005,0.00020931548388544756,0.839626022692933,0.014847869561097491,0.8249874686157209,High-risk (oncogenic)
AOPEP,0.000119626486,1.76006509973649,0.0156638808142147,44799.930642804,0.5653507968526452,0.00017586085521973887,0.839188454664312,0.014612739002371103,0.8247515765171606,High-risk (oncogenic)
PCDHGA4,3.1260897e-05,1.75957735171076,0.0159251749350354,11642.5650030669,0.5650736391381441,4.593331401911891e-05,0.8390077059172033,0.01487431995372673,0.8241793192774958,High-risk (oncogenic)
PRKAR2A,0.00012809483,1.75739472900733,0.0165338203728975,274730.065895626,0.5638324447621056,0.0001883122079059188,0.8381982594661417,0.015483633520270691,0.8229029381537769,High-risk (oncogenic)
SDCBP,0.00073003746,1.75592221582854,0.0175011066471735,872782.763482626,0.5629941980066131,0.0010733730867479592,0.8376515958053596,0.016451981614225633,0.8222729872778819,High-risk (oncogenic)
CDH10,5.0434275e-05,1.75335284206926,0.0158361810694198,2097.2891726259,0.5615298646750795,7.41247162181136e-05,0.8366966290078429,0.014785228396827457,0.8219855253272336,High-risk (oncogenic)
EML1,0.00012161686,1.75230542308816,0.0156638808142147,47145.7083692969,0.5609323055674633,0.00017878738355295285,0.8363069300950077,0.014612739002371103,0.8218729784761895,High-risk (oncogenic)
RNF41,0.00022195978,1.75158325183965,0.0169540903207164,194686.219175458,0.5605200942641172,0.00032632568460462703,0.8360381059825056,0.015904364811244073,0.8204600668558663,High-risk (oncogenic)
SEC63,0.00027856062,1.75173409629964,0.0174546086929705,415660.211942872,0.560606209477267,0.00040954821561825153,0.8360942661255197,0.016405432617798508,0.8200983817233395,High-risk (oncogenic)
CYTL1,0.0001055936,1.74411455017361,0.0185968631438047,30169.3201106574,0.5562470057687875,0.0001552277287441308,0.8332514060228615,0.017548940956221625,0.815857692795384,High-risk (oncogenic)
MTRF1L,0.00014219325,1.74005093424252,0.0173577702610265,48076.1704720834,0.5539143853511773,0.00020904169170321056,0.8317301847257308,0.016308487883350844,0.8156307385340832,High-risk (oncogenic)
CIBAR1,0.000119028584,1.73253469062782,0.0185968631438047,49321.3499570721,0.5495854753318559,0.00017498173544451805,0.8289070806900127,0.017548940956221625,0.8115331214692356,High-risk (oncogenic)
PDSS2,0.00018853611,1.73018684943015,0.0183408443532261,129188.243275094,0.5482294081284725,0.0002771814949925267,0.8280227197821884,0.017292641125999188,0.8110072601511819,High-risk (oncogenic)
CDC42BPA,0.00010867213,1.73783723260271,0.0216868278112695,138071.594267501,0.5526413703302415,0.0001597542173687055,0.8308999864016509,0.02064229757225262,0.8104174430467669,High-risk (oncogenic)
OSTM1,0.00011529834,1.72725258288577,0.0203248570026208,141703.450832047,0.5465320437602447,0.00016949700505927313,0.8269157815051994,0.01927883168666009,0.8078064468235986,High-risk (oncogenic)
