gene,anomaly_score
CLU,0.6801144
GPX3,0.1503694
RNASE1,0.11269657
CYP2A6,0.08862967
CD36,0.057046928
ACSL1,0.053318925
NDRG1,0.043838404
APP,0.03913202
DES,0.03183429
CPE,0.03009768
MYL3,0.026815852
HNRNPK,0.026117325
BCHE,0.02485717
LDB3,0.024498748
GSTP1,0.023409355
TNNC2,0.022463009
PLAAT4,0.022413908
PIP,0.02116755
SNCG,0.020684117
STC1,0.019749593
PDP1,0.019455243
ASS1,0.018475458
CKB,0.018338505
ALB,0.0179684
PI15,0.017338
PFKFB3,0.016215064
TUBA4B,0.015446379
HSPB8,0.014572263
SCGB2A2,0.013333587
S100A6,0.012968808
HSP90AA1,0.012790918
THBS1,0.012271693
EFEMP1,0.012107775
CTSF,0.011473757
TSKU,0.0106723
RAC2,0.010112479
CFB,0.009537753
GPNMB,0.009301038
HSPB7,0.009161833
MT1E,0.009020381
SKAP1,0.009009912
CD164,0.008910287
DEF6,0.00883986
EMP1,0.008750382
PDLIM3,0.008272849
CXCL9,0.008112725
NEFH,0.00808821
RARRES2,0.008054039
PSME1,0.0079909405
SCGB1D2,0.007987297
MAPT,0.007716657
MLPH,0.0075765853
LEF1,0.0071650962
PRKAR2B,0.006582532
CD6,0.00653869
RETSAT,0.0064237486
CPB1,0.006270589
HBA2,0.005949471
CTSK,0.005782308
SLC29A1,0.0056884815
KDM4B,0.0056597483
PYGM,0.0056498805
SLC43A3,0.0053986944
LDHB,0.005279413
TRIM45,0.0051515386
PAPSS2,0.0048959972
TNFSF10,0.0048875967
TMSB10,0.00470273
ACTG1,0.0046764016
MMD,0.0046669184
PCSK6,0.0045840824
FABP5,0.004571491
PLAAT3,0.004569161
ZNF552,0.004544115
TIMP2,0.0045419326
FTL,0.004427417
HMGCS2,0.004419787
CAMK4,0.004378447
S100A9,0.004363288
AGPAT2,0.004335888
TBCB,0.0042506447
FSTL1,0.0042196177
MRC1,0.004158698
SIAH2,0.0039554355
ACKR3,0.0038013025
MFAP5,0.003769395
SLC16A2,0.0037046347
IL12B,0.003667599
HLA-DQB2,0.0036604851
OGN,0.0036065597
FMO3,0.0034861737
PSMB8,0.0034435627
PSME2,0.0034230973
PERP,0.0033992894
MMP9,0.003343204
MAN1A1,0.003334728
USP22,0.0033164546
NFKBIE,0.0031957817
ADAM9,0.0031891288
CD2,0.0031245642
CDKN1A,0.003113437
PRG4,0.003106343
CASC3,0.0030665016
MZT2B,0.0030353598
PRSS2,0.0030196698
SERPINI1,0.0030051242
PSAT1,0.0029717444
PYCARD,0.0028149018
SPTBN1,0.0028043145
AFDN,0.0027664844
TTN,0.0027382502
LYVE1,0.0027287798
BRD4,0.0027067713
TAPBP,0.002655658
VWF,0.002653556
EHF,0.002623266
FGFR1,0.0026102231
MCAM,0.002604756
MAP4K1,0.0024944574
CELSR2,0.0024787434
RCAN1,0.0023128106
CISH,0.002257833
NPAS1,0.0022017567
PRSS1,0.0021828264
PEG3,0.0021733735
EPAS1,0.002167506
ST13,0.0021576516
PYGL,0.0021353278
FBN1,0.0021240653
ITGB1,0.00211691
PMP22,0.0021052144
CD5,0.0020938923
MZT2A,0.0020927459
SFRP4,0.0020589414
YBX3,0.0020548832
C1orf115,0.0020354115
ETF1,0.0020163397
EIF3E,0.0020004117
KLF6,0.0019888442
DAXX,0.0019798512
SERINC1,0.0019616443
CAVIN2,0.0019396042
CD3D,0.0019357979
CCR7,0.0019210316
YPEL5,0.0019175435
DDX3X,0.00191054
UBTF,0.0018937945
POMGNT1,0.001864527
PLPBP,0.0018207472
GOLGA7,0.0018188404
MAT2A,0.0018092482
OAT,0.0018088579
LRRC23,0.0017989782
TUBA3E,0.0017830936
CD24,0.0017818309
ADM,0.0017785205
TUBA3D,0.0017085662
INHBB,0.0016745331
TWNK,0.0016589483
SEMA3F,0.001652897
FOLR2,0.0016484044
TUBA1A,0.0016468542
